JWD0305065	" "	""	""	
JWD0305057	","	","	""	
JWD0305059	"."	"."	""	
JWD0305060	"."	"."	""	
JWD0000093	A	A	""	
JWD0000095	B	B	""	
JWD0000097	C	C	""	
JWD0000098	D	D	""	
JWD0000100	E	E	""	
JWD0000101	F	F	""	
JWD0000102	G	G	""	
JWD0000104	H	H	""	
JWD0000107	I	I	""	
JWD0000108	J	J	""	
JWD0000110	K	K	""	
JWD0000111	L	L	""	
JWD0000112	M	M	""	
JWD0000113	N	N	""	
JWD0000114	O	O	""	
JWD0032205	OFF	OFF	オフセットという印刷方式	
JWD0244468	OFF	OFF	ある事に絶好の時期以外の時期	
JWD0547540	OFF	OFF	機械に電気が通じていないこと	
JWD0000115	P	P	""	
JWD0000117	Q	Q	""	
JWD0000118	R	R	""	
JWD0000120	S	S	""	
JWD0000122	T	T	""	
JWD0000124	U	U	""	
JWD0000125	V	V	""	
JWD0000126	W	W	""	
JWD0000127	X	X	""	
JWD0000128	Y	Y	""	
JWD0000129	Z	Z	""	
JWD0000094	a	a	""	
JWD0000096	b	b	""	
JWD0000179	c	c	""	
JWD0000248	d	d	""	
JWD0000268	e	e	""	
JWD0000290	f	f	""	
JWD0000103	g	g	""	
JWD0000105	h	h	""	
JWD0000317	i	i	""	
JWD0000109	j	j	""	
JWD0000339	k	k	""	
JWD0000343	l	l	""	
JWD0000348	m	m	""	
JWD0000359	n	n	""	
JWD0000363	o	o	""	
JWD0000116	p	p	""	
JWD0000404	q	q	""	
JWD0000119	r	r	""	
JWD0000121	s	s	""	
JWD0000123	t	t	""	
JWD0000483	u	u	""	
JWD0000505	v	v	""	
JWD0000534	w	w	""	
JWD0000536	x	x	""	
JWD0000537	y	y	""	
JWD0000130	z	z	""	
JWD0305056	"、"	"、"	""	
JWD0305058	"。"	"。"	""	
JWD0305063	・		""	
JWD0305064	・		""	
JWD0000540	あ	あ	感動した時に発する語	
JWD0000544	あ	あ	何かを思い出した時に発する語	
JWD0509817	あ	あ	驚いた時に発する語	
JWD0000547	亜	あ	"〜に準ずる"	
JWD0000549	亜	あ	"酸素の割合が少ない〜"	
JWD0371421	亜	あ	アルゼンチンという国	
JWD0371458	亜	あ	アジアという東半球の東北部	
JWD0289740	阿	あ	"梵語の文字である,阿"	
JWD0289741	阿	あ	"阿波国という,四国地方にあった国"	
JWD0409126	阿	あ	アフリカ大陸	
JWD0000548	亞	あ	"〜に準ずる"	
JWD0000550	亞	あ	"酸素の割合が少ない〜"	
JWD0371460	亞	あ	アジアという東半球の東北部	
